tool	model	kind	wav	audio_s	ms	encode_ms
parakeet-cli	Parakeet-TDT v2	corpus	jfk.wav	-1	336.2800000000001	-1
parakeet-cli	Parakeet-TDT v2	corpus	jfk3.wav	-1	749.16	-1
parakeet-cli	Parakeet-TDT v2	corpus	gb1.wav	-1	6661.88	-1
parakeet-cli	Parakeet-TDT v2	corpus	hp0.wav	-1	10955.380000000001	-1
parakeet-cli	Parakeet-TDT v2	corpus	hp0x2.wav	-1	37609.77	-1
parakeet-cli	Parakeet-TDT v2	libri	01_1089-134686-0000.wav	-1	357.3399999999999	-1
parakeet-cli	Parakeet-TDT v2	libri	02_1089-134686-0001.wav	-1	219.04000000000008	-1
parakeet-cli	Parakeet-TDT v2	libri	03_1089-134686-0002.wav	-1	282.93000000000006	-1
parakeet-cli	Parakeet-TDT v2	libri	04_1089-134686-0003.wav	-1	210.43999999999994	-1
parakeet-cli	Parakeet-TDT v2	libri	05_1089-134686-0004.wav	-1	252.55999999999995	-1
parakeet-cli	Parakeet-TDT v2	libri	06_1089-134686-0005.wav	-1	318.47	-1
parakeet-cli	Parakeet-TDT v2	libri	07_1089-134686-0006.wav	-1	345.64	-1
parakeet-cli	Parakeet-TDT v2	libri	08_1089-134686-0007.wav	-1	225.17999999999995	-1
parakeet-cli	Parakeet-TDT v2	libri	09_1089-134686-0008.wav	-1	266.0300000000001	-1
parakeet-cli	Parakeet-TDT v2	libri	10_1089-134686-0009.wav	-1	338.94999999999993	-1
parakeet-cli	Parakeet-TDT v2	libri	11_1089-134686-0010.wav	-1	224.89	-1
parakeet-cli	Parakeet-TDT v2	libri	12_1089-134686-0011.wav	-1	376.20000000000005	-1
parakeet-cli	Parakeet-TDT v2	libri	13_1089-134686-0012.wav	-1	357.6700000000001	-1
parakeet-cli	Parakeet-TDT v2	libri	14_1089-134686-0013.wav	-1	295.03999999999996	-1
parakeet-cli	Parakeet-TDT v2	libri	15_1089-134686-0014.wav	-1	196.60000000000002	-1
parakeet-cli	Parakeet-TDT v2	libri	16_1089-134686-0015.wav	-1	258.24	-1
parakeet-cli	Parakeet-TDT v2	libri	17_1089-134686-0016.wav	-1	212.62	-1
parakeet-cli	Parakeet-TDT v2	libri	18_1089-134686-0017.wav	-1	306.1	-1
parakeet-cli	Parakeet-TDT v2	libri	19_1089-134686-0018.wav	-1	436.9699999999999	-1
