tool	model	kind	wav	audio_s	ms	encode_ms
parakeet-cli	Parakeet-TDT v2	corpus	jfk.wav	-1	678.7599999999998	-1
parakeet-cli	Parakeet-TDT v2	corpus	jfk3.wav	-1	1781.3000000000002	-1
parakeet-cli	Parakeet-TDT v2	corpus	gb1.wav	-1	16752.809999999998	-1
parakeet-cli	Parakeet-TDT v2	corpus	hp0.wav	-1	27991.309999999998	-1
parakeet-cli	Parakeet-TDT v2	corpus	hp0x2.wav	-1	92566.78	-1
onnx	Parakeet-TDT v2	corpus	jfk.wav	-1	-1	-1
onnx	Parakeet-TDT v2	corpus	jfk3.wav	-1	-1	-1
onnx	Parakeet-TDT v2	corpus	gb1.wav	-1	-1	-1
onnx	Parakeet-TDT v2	corpus	hp0.wav	-1	-1	-1
onnx	Parakeet-TDT v2	corpus	hp0x2.wav	-1	-1	-1
parakeet-cli	Parakeet-TDT v3	corpus	jfk.wav	-1	692.26	-1
parakeet-cli	Parakeet-TDT v3	corpus	jfk3.wav	-1	1798.72	-1
parakeet-cli	Parakeet-TDT v3	corpus	gb1.wav	-1	17053.7	-1
parakeet-cli	Parakeet-TDT v3	corpus	hp0.wav	-1	28986.83	-1
parakeet-cli	Parakeet-TDT v3	corpus	hp0x2.wav	-1	94313.73999999999	-1
onnx	Parakeet-TDT v3	corpus	jfk.wav	-1	-1	-1
onnx	Parakeet-TDT v3	corpus	jfk3.wav	-1	-1	-1
onnx	Parakeet-TDT v3	corpus	gb1.wav	-1	-1	-1
onnx	Parakeet-TDT v3	corpus	hp0.wav	-1	-1	-1
onnx	Parakeet-TDT v3	corpus	hp0x2.wav	-1	-1	-1
whisper-cli	Whisper tiny	corpus	jfk.wav	-1	262.94	-1
whisper-cli	Whisper tiny	corpus	jfk3.wav	-1	562.9	-1
whisper-cli	Whisper tiny	corpus	gb1.wav	-1	3089.6499999999996	-1
whisper-cli	Whisper tiny	corpus	hp0.wav	-1	3894.08	-1
whisper-cli	Whisper tiny	corpus	hp0x2.wav	-1	8068.67	-1
onnx	Whisper tiny	corpus	jfk.wav	11	606.007	-1
onnx	Whisper tiny	corpus	jfk3.wav	-1	-1	-1
onnx	Whisper tiny	corpus	gb1.wav	-1	-1	-1
onnx	Whisper tiny	corpus	hp0.wav	-1	-1	-1
onnx	Whisper tiny	corpus	hp0x2.wav	-1	-1	-1
whisper-cli	Whisper large-v3-turbo	corpus	jfk.wav	-1	6971.53	-1
whisper-cli	Whisper large-v3-turbo	corpus	jfk3.wav	-1	14233.76	-1
whisper-cli	Whisper large-v3-turbo	corpus	gb1.wav	-1	80386.03	-1
whisper-cli	Whisper large-v3-turbo	corpus	hp0.wav	-1	103664.84	-1
whisper-cli	Whisper large-v3-turbo	corpus	hp0x2.wav	-1	199539.22	-1
onnx	Whisper large-v3-turbo	corpus	jfk.wav	11	3890.058	-1
onnx	Whisper large-v3-turbo	corpus	jfk3.wav	-1	-1	-1
onnx	Whisper large-v3-turbo	corpus	gb1.wav	-1	-1	-1
onnx	Whisper large-v3-turbo	corpus	hp0.wav	-1	-1	-1
onnx	Whisper large-v3-turbo	corpus	hp0x2.wav	-1	-1	-1
mtmd	Gemma-4 E2B audio	corpus	gemma4a_test2.wav	-1	8251.5	3079.8
mtmd	Qwen3-Omni-30B audio	corpus	jfk.wav	-1	318961	7497.5
mtmd	Qwen3-Omni-30B audio	corpus	jfk3.wav	-1	11762.9	11678.4
