model	prefill_tok_s	emission_tok_s	lcpp_commit	n_params
SmolLM2-135M	3964.785217	433.276337	ebd048f	134515008
Qwen2.5-0.5B	1905.881734	176.539244	ebd048f	494032768
Qwen3-0.6B	1416.620097	143.691448	ebd048f	596049920
gemma-3-1B	1060.990904	92.266851	ebd048f	999885952
TinyLlama-1.1B	817.237523	92.22606	ebd048f	1100048384
Llama-3.2-1B	855.903074	81.641603	ebd048f	1235814432
Qwen2.5-1.5B	614.382534	63.89881	ebd048f	1543714304
SmolLM2-1.7B	505.503514	58.577712	ebd048f	1711376384
gemma-2-2B	393.419318	35.141313	ebd048f	2614341888
Phi-3.5-mini	222.971297	27.705757	ebd048f	3821079648
gemma-3-4B	252.622055	24.908518	ebd048f	3880099328
Qwen3-4B	218.121186	25.567016	ebd048f	4022468096
gemma-4-E2B	239.228681	37.925622	ebd048f	4647450147
Mistral-7B	120.359828	14.915433	ebd048f	7248023552
gemma-4-E4B	120.311985	19.511259	ebd048f	7518069290
Llama-3.1-8B	120.378268	13.919405	ebd048f	8030261312
Qwen3.5-0.8B	944.754699	94.716911	ebd048f	752393024
Qwen3-4B-q4k	173.879853	39.771889	ebd048f	4022468096
gpt-oss-20b	120.292031	40.672155	ebd048f	20914757184
Qwen3-30B-A3B	138.34579	43.770537	ebd048f	30532122624
Qwen3.6-35B-A3B	154.975093	29.754365	ebd048f	34660610688
