model	prefill_tok_s	emission_tok_s	lcpp_commit	n_params
SmolLM2-135M	21411.303838	332.144039	ebd048f	134515008
Qwen2.5-0.5B	9233.785645	240.359895	ebd048f	494032768
Qwen3-0.6B	6929.08095	219.130222	ebd048f	596049920
gemma-3-1B	4944.118669	154.863829	ebd048f	999885952
TinyLlama-1.1B	3843.583191	203.911867	ebd048f	1100048384
Llama-3.2-1B	3945.513292	194.478149	ebd048f	1235814432
Qwen2.5-1.5B	2874.198946	140.797582	ebd048f	1543714304
SmolLM2-1.7B	2385.688975	145.924257	ebd048f	1711376384
gemma-2-2B	1902.198691	99.303843	ebd048f	2614341888
Phi-3.5-mini	1065.044773	74.134296	ebd048f	3821079648
gemma-3-4B	1177.177391	68.382511	ebd048f	3880099328
Qwen3-4B	1007.340287	67.567019	ebd048f	4022468096
gemma-4-E2B	1762.777216	84.560014	ebd048f	4647450147
Mistral-7B	587.197364	42.596557	ebd048f	7248023552
gemma-4-E4B	916.926326	52.335721	ebd048f	7518069290
Llama-3.1-8B	586.33087	40.722959	ebd048f	8030261312
Llama-3.2-3B	1401.517675	86.979208	ebd048f	3212749888
