model	prefill_tok_s	emission_tok_s	lcpp_commit	n_params
SmolLM2-135M	2414.743116	226.316435	fdb1db877	134515008
Qwen2.5-0.5B	1048.171592	87.492926	fdb1db877	494032768
Qwen3-0.6B	781.601961	71.394169	fdb1db877	596049920
gemma-3-1B	564.055554	44.800516	fdb1db877	999885952
TinyLlama-1.1B	441.896218	44.984615	fdb1db877	1100048384
Llama-3.2-1B	455.273121	39.840737	fdb1db877	1235814432
Qwen2.5-1.5B	329.699057	30.810912	fdb1db877	1543714304
SmolLM2-1.7B	272.191652	28.386243	fdb1db877	1711376384
gemma-2-2B	219.956683	17.877075	fdb1db877	2614341888
Phi-3.5-mini	123.845068	13.582353	fdb1db877	3821079648
gemma-3-4B	138.39663	12.454218	fdb1db877	3880263168
Qwen3-4B	120.28777	12.3986	fdb1db877	4022468096
gemma-4-E2B	215.793621	19.137047	fdb1db877	4647450147
Mistral-7B	66.577089	7.153947	fdb1db877	7248023552
gemma-4-E4B	107.799064	9.90944	fdb1db877	7518069290
Llama-3.1-8B	65.886958	6.74694	fdb1db877	8030261312
Qwen3-4B-q4k	187.754937	19.849736	fdb1db877	4022468096
Qwen3.6-35B-A3B	103.709287	13.036919	fdb1db877	34660610688
Qwen3.5-0.8B	536.376084	43.369442	fdb1db877	752393024
gpt-oss-20b	143.900982	19.647667	fdb1db877	20914757184
Qwen3-30B-A3B	150.748882	22.939775	fdb1db877	30532122624
gemma-4-26B-A4B	100.330479	11.139292	fdb1db877	25233142046
Qwen3-Coder-30B	103.500491	14.738287	fdb1db877	30532122624
Qwen3-Coder-30B-q4k	146.895093	22.919679	fdb1db877	30532122624
gemma-4-26B-A4B-q4k	127.149546	17.171315	fdb1db877	25233142046
gemma-4-26B-QAT-q4_0	146.615503	18.838754	fdb1db877	25233142046
Qwen3-Coder-Next	69.074222	9.293619	fdb1db877	79674391296
Qwen3-Coder-Next-q4k	81.264151	12.310183	fdb1db877	79674391296
Qwen3.5-122B-A10B-q4k	39.972824	4.983295	fdb1db877	122111526912
